q_no,Question,location
q1,What is meant by the term 'uncertainty' in the context of ecological forecasting?,Introduction:
q2,"How do you think knowing the uncertainty in a forecast helps natural resource managers? For example, if a drinking water manager received a toxic algal bloom forecast with high vs. low uncertainty in a bloom prediction, how might that affect their decision-making?",Introduction:
q3,Fill out information about your selected NEON site:,Site Selection: Objective 1
q3a,Name of selected site:,
q3b,Four letter site identifier:,
q3c,Latitude:,
q3d,Longitude:,
q3e,Lake area (km2):,
q3f,Elevation (m):,
q4,List two potential impacts on lakes and inland water bodies as a result of increasing water temperature.,Activity A: Objective 2
q5,Describe any patterns you see in the surface water temperature data for your lake.,Activity A: Objective 2
q6,Fill out the table in your Word document with the summary statistics of water temperature:,Activity A: Objective 2
q7,Fill out the table in your Word document with the summary statistics of air temperature:,
q8,Do you think there is a relationship between air temperature and water temperature at this lake?,
q9,"Describe, in your own words, the difference between a linear regression model and a multiple linear regression model.",Activity A: Objective 3
q10,"Based on your exploration of water and air temperature data at your lake site in the previous objective, do you think it is reasonable to use air temperature as an independent variable in a model to predict water temperature? Why or why not?",Activity A: Objective 3
q11,"Based on the plot of observations and model predictions, do you think the persistence model does a good job of predicting model temperature? Why or why not?",Activity A: Objective 3
q12,Let's pretend a lake manager has asked you to provide a 30-day forecast of water temperature. Do you think a persistence model would be a good choice for generating such a forecast? Why or why not?,Activity A: Objective 3
q13,Does today's water temperature exhibit a positive or negative linear relationship with yesterday's water temperature?,Activity A: Objective 4
q14,Does today's water temperature exhibit a positive or negative linear relationship with today's air temperature?,Activity A: Objective 5
q15,"In a scatterplot of a perfect linear relationship, all the points fall exactly on the 1:1 line (see example figure to the right). Knowing this, assess the linear relationships between: 1) today's water temperature and yesterday's water temperature;  and 2) today's water temperature and today's air temperature. Which plot do you think exhibits a stronger linear relationship, and why?",Activity A: Objective 5
q16,"A positive linear regression model with a perfect fit has a slope (m = 1) and an intercept (b = 0). Knowing this, use the parameter values of your two linear regression models to assess the fit of: 1) the model using yesterday's water temperature to predict today's water temperature;  and 2) the module using today's air temperature and today's water temperature. Which model do you think exhibits a better fit, and why?",Activity A: Objective 5
q17,"Because both of our independent variables have the same units (degrees Celsius), we can compare the values of the coefficients to understand which independent variable has a stronger relationship with the dependent variable. Knowing this, is yesterday's water temperature or today's air temperature more strongly associated with today's water temperature?",Activity A: Objective 5
q18,Which model do you think will produce the best forecasts of water temperature? Why?,Activity B: Overview
q19,"Using the forecasts you have generated, what is your best estimate of what the water temperature will be 7 days in the future? Explain your reasoning.",Activity B: Objective 6
q20,"Describe, in your own words, the difference between a deterministic and a probabilistic forecast.",Activity B: Objective 7
q21,Can you think of potential ways to reduce parameter uncertainty?,Activity B: Objective 7
q22,Which model was most sensitive to initial conditions (e.g. had a large distribution of forecast members even after 7 days)? Why do you think that is?,Activity B: Objective 8
q23,What factors can lead to an increase in initial conditions uncertainty?,Activity B: Objective 8
q24,What potential steps could be taken to reduce initial conditions uncertainty?,Activity B: Objective 8
q25,Which model was most sensitive to the forecast drivers (e.g. had a large distribution of forecast members even after 7 days)? Why do you think that is?,Activity B: Objective 9
q26,Can you think of a way to reduce driver uncertainty in your forecast of water temperature?,Activity B: Objective 9
q27,Which source of uncertainty do you think contributes the most to total forecast uncertainty for a forecast of water temperature?,Activity B: Summary
q28,"You have been given $5,000 to improve your water temperature forecasts. What would you spend it on to reduce your forecast uncertainty?",Activity B: Summary
q29,Do you think that different lake sites would have the same or different quantities of uncertainty? Why?,Activity B: Summary
q30,Which source of uncertainty contributes the most to total forecast uncertainty for model 1?,Activity C: Objective 10
q31,Which source of uncertainty contributes the most to total forecast uncertainty for model 2?,Activity C: Objective 10
q32,"With your partner, compare how the sources of uncertainty differed between your forecasts. Explain why each of the uncertainties (process, parameter, initial conditions & driver) is different between your models.",Activity C: Objective 10
q33,Did the uncertainty visualization affect your decision? How?,Activity C: Objective 11
q34,Can you think of any potential risks when using a forecast without all soures of uncertainty included?,Activity C: Objective 11
